Data,Horário ,Xixi,Cocô,,27.02.23,4
26.03.23,22:25,cheia e na troca ,médio ,,,
26.03.23,22:55,cheia,não,,,
27.03.23,0:31,cheia ,pouco,,,
27.03.23,4:50,cheia e na troca,pouquíssimo ,,,
27.03.23,8:35,cheia,pouquíssimo ,,,
27.03.23,10:35,cheia e na troca,pouco/médio,,,
27.03.23,12:03,cheia,pouco,,,
27.03.23,14:55,cheia,não,,,
27.03.23,16:45,na troca,muito,,,
27.03.23,18:00,cheia ,médio/muito,,,
27.03.23,18:35,cheia,novo novo recorde,,,
27.03.23,20:25,cheia,muito,,,
27.03.23,22:35,cheia,pouco,,,
27.03.23,23:20,cheia,não,,,
28.03.23,5:32,cheia e na troca,pouquíssimo ,,,
28.03.23,8:50,cheia,pouquíssimo ,,,
28.03.23,11:10,cheia,pouco,,,
28.03.23,12:40,cheia,pouquíssimo ,,,
28.03.23,13:50,cheia,pouco,,,
28.03.23,18:20,cheia e na troca,pouco/médio,,,
28.03.23,19:20,na troca,novo recorde,,,
28.03.23,21:12,cheia e na troca ,pouquíssimo ,,,
28.03.23,21:18,não,pouco,,,
28.03.23,22:47,cheia,pouquíssimo ,,,
29.03.23,3:15,cheia e na troca,pouquíssimo ,,,
29.03.23,5:50,cheia e na troca,pouquíssimo ,,,
29.03.23,8:45,na troca,pouco,,,
29.03.23,10:35,cheia e na troca,pouco,,,
29.03.23,12:57,cheia,pouco,,,
29.03.23,16:10,cheia e na troca,pouco,,,
29.03.23,19:00,cheia,pouco,,,
29.03.23,19:48,cheia,muito,,,
29.03.23,21:27,cheia,pouquíssimo ,,,
29.03.23,22:44,cheia,pouco/médio,,,
30.03.23,2:50,cheia e na troca ,não ,,,
30.03.23,6:57,cheia ,muito,,,
30.03.23,10:23,cheia e na troca,pouquíssimo ,,,
30.03.23,11:50,cheia,pouquíssimo ,,,
30.03.23,12:50,cheia,não,,,
30.03.23,15:20,na troca,pouquíssimo ,,,
30.03.23,15:40,cheia,pouco,,,
30.03.23,18:50,cheia,pouquíssimo ,,,
30.03.23,20:30,cheia,pouco,,,
31.03.23,0:53,cheia e na troca,pouco,,,
31.03.23,4:20,cheia e na troca,pouquíssimo ,,,
31.03.23,7:25,cheia,muito,,,
31.03.23,10:05,cheia e na troca,pouco/médio ,,,
31.03.23,12:35,cheia,pouco,,,
31.03.23,13:30,cheia e na troca,novo^4 recorde,,,
31.03.23,15:57,cheia e na troca,pouquíssimo ,,,
31.03.23,16:55,cheia,pouquíssimo ,,,
31.03.23,19:35,cheia,pouquíssimo ,,,
31.03.23,20:30,cheia ,pouquíssimo ,,,
31.03.23,21:25,cheia,não,,,
31.03.23,23:04,cheia e na troca,pouquíssimo,,,
01.04.23,2:18,cheia e na troca,pouquíssimo ,,,
01.04.23,6:45,cheia,pouco,,,
01.04.23,10:25,cheia,muito,,,
01.04.23,13:30,cheia ,pouquíssimo ,,,
01.04.23,17:00,cheia e na troca ,pouquíssimo ,,,
01.04.23,18:50,cheia,pouco,,,
01.04.23,19:45,cheia,muito,,,
01.04.23,21:35,cheia,pouco,,,
02.04.23,0:38,cheia e na troca,pouco,,,
02.04.23,4:20,cheia,pouquíssimo ,,,
02.04.23,5:42,cheia,pouco,,,
02.04.23,10:28,cheia e na troca ,pouquíssimo ,,,
02.04.23,12:15,na troca,pouco,,,
02.04.23,14:04,cheia,pouco,,,
02.04.23,15:55,cheia,muito,,,
02.04.23,18:23,cheia ,muito,,,
02.04.23,18:55,não ,médio ,,,
02.04.23,19:35,cheia,pouco,,,
02.04.23,20:40,cheia,pouquíssimo ,,,
03.04.23,0:51,cheia e na troca,pouquíssimo ,,,
03.04.23,4:43,cheia,não,,,
03.04.23,7:30,cheia,pouquíssimo ,,,
03.04.23,9:20,cheia,novo^4 recorde,,,
03.04.23,11:30,cheia,pouquíssimo ,,,
03.04.23,12:55,cheia,pouco,,,
03.04.23,15:50,cheia,pouquíssimo ,,,
03.04.23,18:15,cheia,pouco,,,
03.04.23,20:03,cheia,pouquíssimo ,,,
03.04.23,21:04,cheia,pouquíssimo ,,,
03.04.23,22:10,cheia e na troca,não ,,,
04.04.23,4:17,cheia,pouquíssimo ,,,
04.04.23,7:00,cheia,pouquíssimo ,,,
04.04.23,9:35,cheia ,pouquíssimo ,,,
04.04.23,11:10,cheia e na troca,pouco,,,
04.04.23,13:17,cheia,pouco,,,
04.04.23,16:07,cheia,pouquíssimo ,,,
04.04.23,17:00,cheia,pouco,,,
04.04.23,18:45,cheia,pouco/médio ,,,
04.04.23,20:38,cheia,pouco,,,
04.04.23,22:22,cheia,pouquíssimo ,,,
05.04.23,1:40,cheia,pouquíssimo ,,,
05.04.23,2:08,não ,muito,,,
05.04.23,2:34,não ,pouquíssimo ,,,
05.04.23,6:17,cheia,pouquíssimo ,,,
05.04.23,11:15,cheia,pouco,,,
05.04.23,14:30,cheia e na troca,pouco,,,
05.04.23,17:05,cheia e na troca,pouco,,,
05.04.23,19:10,cheia,novo^3 recorde,,,
05.04.23,21:25,cheia,não ,,,
06.04.23,2:30,cheia e na troca,não,,,
06.04.23,5:53,cheia,não ,,,
06.04.23,9:40,cheia e na troca,pouquíssimo ,,,
06.04.23,13:10,cheia,pouco,,,
06.04.23,15:20,cheia,pouco,,,
06.04.23,16:25,cheia,pouco,,,
06.04.23,18:03,cheia,pouco,,,
06.04.23,18:55,cheia,pouquíssimo ,,,
06.04.23,21:45,cheia ,pouco,,,
07.04.23,1:55,cheia,pouco,,,
07.04.23,5:10,cheia,médio,,,
07.04.23,5:33,não,muito,,,
07.04.23,5:47,cheia,pouco,,,
